Ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
BRK-B
TSLA
UNH
JPM
V
JNJ
XOM
PG
MA
HD
CVX
MRK
ABBV
PEP
KO
COST
LLY
AVGO
CRM
WMT
CSCO
ACN
BAC
NFLX
ADBE
ORCL
AMD
INTC
TMO
LIN
QCOM
TXN
AMGN
