symbol
GS
CAT
MSFT
HD
AXP
SHW
AMGN
V
MCD
JPM
IBM
UNH
TRV
AAPL
AMZN
BA
JNJ
HON
CRM
NVDA
CVX
MMM
PG
WMT
DIS
MRK
CSCO
KO
NKE
VZ
