symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
META
AVGO
TSLA
ASML
MU
COST
AMD
PLTR
NFLX
CSCO
LRCX
AZN
AMAT
INTC
KLAC
LIN
TMUS
PEP
TXN
APP
AMGN
SHOP
ISRG
GILD
BKNG
QCOM
ADI
PDD
HON
INTU
PANW
VRTX
ADBE
ARM
MELI
CRWD
CMCSA
SBUX
CEG
ADP
SNPS
DASH
MAR
ORLY
CDNS
ABNB
MNST
REGN
CTAS
MDLZ
CSX
WBD
MRVL
PCAR
AEP
ROST
FTNT
NXPI
BKR
ADSK
IDXX
EA
TRI
FAST
PYPL
FANG
WDAY
DDOG
EXC
XEL
TTWO
MCHP
CCEP
AXON
MSTR
CTSH
CPRT
ROP
PAYX
KDP
ODFL
GEHC
ZS
TEAM
VRSK
DXCM
KHC
CSGP
BIIB
ON
GFS
CHTR
LULU
CDW
TTD
