Ticker
SHEL.L
AZN.L
HSBA.L
ULVR.L
BP.L
RIO.L
GSK.L
DGE.L
BATS.L
VOD.L
REL.L
AAL.L
NG.L
LSEG.L
BARC.L
RR.L
IMB.L
GLEN.L
EXPN.L
SSE.L
